,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,totals,weekday,Start_Lon_mean,Start_Lat_mean,End_Lon_mean,End_Lat_mean,Start_Lon_std,Start_Lat_std,End_Lon_std,End_Lat_std,Start_Lon_meanAM,Start_Lat_meanAM,End_Lon_meanAM,End_Lat_meanAM,Start_Lon_stdAM,Start_Lat_stdAM,End_Lon_stdAM,End_Lat_stdAM,Start_Lon_meanPM,Start_Lat_meanPM,End_Lon_meanPM,End_Lat_meanPM,Start_Lon_stdPM,Start_Lat_stdPM,End_Lon_stdPM,End_Lat_stdPM
0,2016-06-01,317,155,80,48,59,321,1506,3215,5284,3635,2136,2101,2338,2445,2452,2736,3349,5751,5919,4101,2774,1883,1279,781,54665,2,-73.98719407995836,40.73799911840971,-73.98718770185444,40.73774052524796,0.016060647751402708,0.02250669147795529,0.01613833681995684,0.022504783613855748,-73.98527947009711,40.738678937903416,-73.98870417893254,40.73779085130224,0.016087130938373852,0.023661988544182545,0.015496068065789691,0.021131403454569358,-73.98855768579696,40.73765710283916,-73.98672044632507,40.73841685576294,0.01583695525228506,0.021850889630787167,0.01625797506969958,0.02309786309537467
1,2016-06-02,339,177,87,60,58,333,1440,3077,5375,3521,2102,2031,2434,2560,2658,2720,3629,5696,5720,3826,2620,1750,1285,903,54401,3,-73.98691173072442,40.73840007632169,-73.98710818336197,40.73808743287317,0.01598593522617054,0.022419465555862654,0.01606310707458425,0.02230547940848563,-73.98485998206138,40.738267361315174,-73.98837242985331,40.73742112557081,0.016320873812680953,0.023842482918077657,0.015704825097421358,0.021395127548443027,-73.98808073031167,40.73827994760149,-73.98660424583079,40.73873086734992,0.015820496595880276,0.02163459187587527,0.01624540142681729,0.022839291291564482
2,2016-06-03,457,207,126,94,103,298,1161,1767,1960,1599,1333,1688,2078,2311,2300,2252,3342,4363,3925,2698,1801,1320,969,823,38975,4,-73.98684308668693,40.73728962119012,-73.98661940752375,40.73718001495903,0.015975249590608132,0.02189728932810444,0.016049610176708147,0.02217210137450532,-73.9845968871031,40.73512297193172,-73.98789657916092,40.735199207190426,0.016181873816149415,0.02301525561700817,0.01580775995606477,0.021666571135555715,-73.98780235211723,40.7374361622997,-73.98633178877374,40.73755026070226,0.015990926597607858,0.021519084663361096,0.01618078492955224,0.022687620795895286
3,2016-06-04,617,358,253,153,93,95,280,611,1076,1808,2426,3099,3475,3766,3747,3771,3796,3544,2953,1263,1067,1029,847,850,40977,5,-73.98617878450193,40.73548412132916,-73.98643065814201,40.73513550048555,0.017364181959092846,0.02463004641128852,0.01748121287735014,0.024492411729503838,-73.98521196566422,40.736921737563456,-73.9869527692335,40.73704477508357,0.017332828484370375,0.0243219281289988,0.01638478475541551,0.0237060791105866,-73.98648766087274,40.73569276516079,-73.98607664943636,40.73545671667909,0.0174864828042021,0.02538807947386312,0.01742449902675404,0.02509851104859676
4,2016-06-05,613,410,279,174,102,78,159,362,543,1051,1531,416,1002,1470,2118,2510,2484,2625,1422,439,800,673,697,439,22397,6,-73.98598654649155,40.73551308687609,-73.98611970296449,40.7352784922679,0.016938281506545406,0.023344973972502472,0.017034577780514967,0.023225531117248285,-73.98573395196237,40.737280367338684,-73.98741616742535,40.73674426396863,0.016542573063294198,0.025073544092632658,0.016418989459638624,0.023427267674642614,-73.98635511931704,40.736363586341795,-73.98627344611162,40.7359009932645,0.01681848197730269,0.023504028553371786,0.017028115512649104,0.023408522678555654
5,2016-06-06,256,127,84,56,68,324,1419,2943,4760,3324,1870,1884,2191,2266,2497,2648,3333,5669,5772,4010,2875,1873,1248,652,52149,0,-73.98724061260606,40.737586564235755,-73.9870513660637,40.73741527585428,0.016265029821345874,0.0225453350273052,0.01637044110203559,0.02275213248781051,-73.98496237753791,40.738317529470855,-73.98849997943758,40.7373718317252,0.016518548476323416,0.023577245710439173,0.015688449585767043,0.02144958921101335,-73.98867995986885,40.73687806311342,-73.98660269092659,40.73746384809573,0.016012778808805944,0.02178729870759627,0.016512023519264448,0.02316304643240206
6,2016-06-07,399,131,78,38,64,389,1453,3276,5397,3441,2047,1890,2235,2396,2402,2355,2664,5355,5637,3852,2614,1707,1292,700,51812,1,-73.98680992611011,40.73824471481007,-73.98693878387925,40.73780317892605,0.016125118657718252,0.022452102310967198,0.016215196391729084,0.02241346410298445,-73.98492592641642,40.73846637774162,-73.98834765479394,40.73739801233121,0.016540667384256684,0.02388217113130849,0.0158628573994583,0.02136575172375936,-73.98815250397415,40.73806275623975,-73.98630531503534,40.73840234769978,0.015815483758483864,0.02153637994048081,0.016350473220031258,0.022795528948730184
7,2016-06-08,331,141,83,51,71,337,1428,3137,5494,3754,2037,1890,741,169,246,793,1873,4690,5527,3720,2438,1515,1125,659,42250,2,-73.9864686906038,40.738072750545385,-73.9867406204223,40.737744601535155,0.016117077899858792,0.022249211047883133,0.016214065281883468,0.022053137912244843,-73.98486956220138,40.738355369166506,-73.98836549148895,40.73758384419426,0.016463843530142915,0.023695521649116792,0.01564340029185676,0.021319910371424,-73.98782174376812,40.73818456428974,-73.98614319727163,40.73843057157384,0.015529143834052378,0.020848338916438672,0.016081660686326976,0.0221916669113356
8,2016-06-09,346,147,84,42,69,312,1351,2976,5158,3648,2069,1984,2381,2412,2474,2680,3372,5570,5673,3793,2509,1690,1297,868,52905,3,-73.98687619502563,40.73806689866353,-73.98702463245019,40.73785817768425,0.016121873070924952,0.022174500282250764,0.01618419938681176,0.02216029207606297,-73.98480102223698,40.73836388728442,-73.988244481771,40.7377053070102,0.016469863455293582,0.02329512631003164,0.015726933142297454,0.020830583899090555,-73.9879536356694,40.73830000663468,-73.98651640209445,40.738551161231975,0.01585565092243608,0.021386093938565588,0.01626146126921767,0.022533496747861464
9,2016-06-10,492,243,107,77,67,289,1207,2645,4872,3627,2182,2169,2552,2905,3149,3296,4242,5369,4570,3297,2274,1593,1172,903,53299,4,-73.98683043318944,40.737672016368414,-73.98709875672357,40.73738303894528,0.016399428854361926,0.02254225005272217,0.016397713585382428,0.02236110440661172,-73.98469022204617,40.738169574152685,-73.98825920919872,40.7372314978461,0.016438856414258157,0.02378368722498884,0.015736728361803072,0.02127383597286467,-73.98830867435035,40.73722868022769,-73.98721061482456,40.7372414205076,0.016274902922136292,0.021836802884939523,0.01645450823484321,0.02265705847087348
